,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,57,0,0,1671802750,0.0,100,43,0,,CPICOREYOY-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2022-12-23 13:39:10,2022-12-23
1,100,47,0,1671802751,0.0,53,0,0,,CPICOREYOY-23APR-T3.4,greater,,3.4,,3.5% or higher,finalized,2022-12-23 13:39:11,2022-12-23
2,55,47,0,1671802751,0.0,53,45,0,,CPICOREYOY-23APR-T3.4,greater,,3.4,,3.5% or higher,finalized,2022-12-23 13:39:11,2022-12-23
3,53,47,0,1671802751,0.0,53,47,0,,CPICOREYOY-23APR-T3.4,greater,,3.4,,3.5% or higher,finalized,2022-12-23 13:39:11,2022-12-23
4,100,45,0,1671802758,0.0,55,0,0,,CPICOREYOY-23APR-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-23 13:39:18,2022-12-23
5,55,47,0,1671802758,0.0,53,45,0,,CPICOREYOY-23APR-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-23 13:39:18,2022-12-23
6,53,47,0,1671802758,0.0,53,47,0,,CPICOREYOY-23APR-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-23 13:39:18,2022-12-23
7,100,45,0,1671802758,0.0,55,0,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-23 13:39:18,2022-12-23
8,53,0,0,1671802759,0.0,100,47,0,,CPICOREYOY-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2022-12-23 13:39:19,2022-12-23
9,55,0,0,1671802759,0.0,100,45,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:19,2022-12-23
10,53,0,0,1671802759,0.0,100,47,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:19,2022-12-23
11,53,47,0,1671802759,0.0,53,47,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:19,2022-12-23
12,55,0,0,1671802760,0.0,100,45,0,,CPICOREYOY-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2022-12-23 13:39:20,2022-12-23
13,100,45,0,1671802761,0.0,55,0,0,,CPICOREYOY-23APR-T3.3,greater,,3.3,,3.4% or higher,finalized,2022-12-23 13:39:21,2022-12-23
14,57,45,0,1671802761,0.0,55,43,0,,CPICOREYOY-23APR-T3.3,greater,,3.3,,3.4% or higher,finalized,2022-12-23 13:39:21,2022-12-23
15,55,45,0,1671802762,0.0,55,45,0,,CPICOREYOY-23APR-T3.3,greater,,3.3,,3.4% or higher,finalized,2022-12-23 13:39:22,2022-12-23
16,53,0,0,1671802763,0.0,100,47,0,,CPICOREYOY-23APR-T3.5,greater,,3.5,,3.6% or higher,finalized,2022-12-23 13:39:23,2022-12-23
17,55,0,0,1671802764,0.0,100,45,0,,CPICOREYOY-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2022-12-23 13:39:24,2022-12-23
18,53,0,0,1671802764,0.0,100,47,0,,CPICOREYOY-23APR-T4.7,greater,,4.7,,4.8% or higher,finalized,2022-12-23 13:39:24,2022-12-23
19,53,45,0,1671802764,0.0,55,47,0,,CPICOREYOY-23APR-T4.7,greater,,4.7,,4.8% or higher,finalized,2022-12-23 13:39:24,2022-12-23
20,53,47,0,1671802764,0.0,53,47,0,,CPICOREYOY-23APR-T4.7,greater,,4.7,,4.8% or higher,finalized,2022-12-23 13:39:24,2022-12-23
21,53,0,0,1671802765,0.0,100,47,0,,CPICOREYOY-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2022-12-23 13:39:25,2022-12-23
22,53,47,0,1671802766,0.0,53,47,0,,CPICOREYOY-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2022-12-23 13:39:26,2022-12-23
23,55,0,0,1671802766,0.0,100,45,0,,CPICOREYOY-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2022-12-23 13:39:26,2022-12-23
24,55,47,0,1671802766,0.0,53,45,0,,CPICOREYOY-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2022-12-23 13:39:26,2022-12-23
25,53,47,0,1671802766,0.0,53,47,0,,CPICOREYOY-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2022-12-23 13:39:26,2022-12-23
26,57,0,0,1671802766,0.0,100,43,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-23 13:39:26,2022-12-23
27,57,45,0,1671802766,0.0,55,43,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-23 13:39:26,2022-12-23
28,55,45,0,1671802766,0.0,55,45,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-23 13:39:26,2022-12-23
29,55,47,0,1671802766,0.0,53,45,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-23 13:39:26,2022-12-23
30,53,47,0,1671802767,0.0,53,47,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-23 13:39:27,2022-12-23
31,100,43,0,1671802767,0.0,57,0,0,,CPICOREYOY-23APR-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:27,2022-12-23
32,55,43,0,1671802767,0.0,57,45,0,,CPICOREYOY-23APR-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:27,2022-12-23
33,53,47,0,1671802767,0.0,53,47,0,,CPICOREYOY-23APR-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:27,2022-12-23
34,53,45,0,1671802768,0.0,55,47,0,,CPICOREYOY-23APR-T3.5,greater,,3.5,,3.6% or higher,finalized,2022-12-23 13:39:28,2022-12-23
35,53,47,0,1671802768,0.0,53,47,0,,CPICOREYOY-23APR-T3.5,greater,,3.5,,3.6% or higher,finalized,2022-12-23 13:39:28,2022-12-23
36,55,45,0,1671802768,0.0,55,45,0,,CPICOREYOY-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2022-12-23 13:39:28,2022-12-23
37,53,45,0,1671802768,0.0,55,47,0,,CPICOREYOY-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2022-12-23 13:39:28,2022-12-23
38,53,47,0,1671802768,0.0,53,47,0,,CPICOREYOY-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2022-12-23 13:39:28,2022-12-23
39,55,47,0,1671802769,0.0,53,45,0,,CPICOREYOY-23APR-T3.3,greater,,3.3,,3.4% or higher,finalized,2022-12-23 13:39:29,2022-12-23
40,55,45,0,1671802769,0.0,55,45,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-23 13:39:29,2022-12-23
41,100,45,0,1671802771,0.0,55,0,0,,CPICOREYOY-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-23 13:39:31,2022-12-23
42,53,45,0,1671802777,0.0,55,47,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-23 13:39:37,2022-12-23
43,53,47,0,1671802779,0.0,53,47,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-23 13:39:39,2022-12-23
44,100,47,0,1671802782,0.0,53,0,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2022-12-23 13:39:42,2022-12-23
45,55,47,0,1671802785,0.0,53,45,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2022-12-23 13:39:45,2022-12-23
46,53,47,0,1671802785,0.0,53,47,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2022-12-23 13:39:45,2022-12-23
47,53,43,0,1671802786,0.0,57,47,0,,CPICOREYOY-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2022-12-23 13:39:46,2022-12-23
48,53,45,0,1671802786,0.0,55,47,0,,CPICOREYOY-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2022-12-23 13:39:46,2022-12-23
49,53,47,0,1671802786,0.0,53,47,0,,CPICOREYOY-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2022-12-23 13:39:46,2022-12-23
50,53,45,0,1671802786,0.0,55,47,0,,CPICOREYOY-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-23 13:39:46,2022-12-23
51,53,47,0,1671802793,0.0,53,47,0,,CPICOREYOY-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-23 13:39:53,2022-12-23
52,53,45,0,1671973722,0.0,55,47,0,,CPICOREYOY-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2022-12-25 13:08:42,2022-12-25
53,53,45,0,1671973722,0.0,55,47,0,,CPICOREYOY-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-25 13:08:42,2022-12-25
54,53,45,0,1671973724,0.0,55,47,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-25 13:08:44,2022-12-25
55,53,45,0,1671973727,0.0,55,47,0,,CPICOREYOY-23APR-T3.5,greater,,3.5,,3.6% or higher,finalized,2022-12-25 13:08:47,2022-12-25
56,53,43,0,1671973727,0.0,57,47,0,,CPICOREYOY-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-25 13:08:47,2022-12-25
57,53,0,0,1671973729,0.0,100,47,0,,CPICOREYOY-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2022-12-25 13:08:49,2022-12-25
58,100,0,0,1671973729,0.0,100,0,0,,CPICOREYOY-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2022-12-25 13:08:49,2022-12-25
59,53,45,0,1671973729,0.0,55,47,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-25 13:08:49,2022-12-25
60,100,45,0,1671973729,0.0,55,0,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-25 13:08:49,2022-12-25
61,100,0,0,1671973730,0.0,100,0,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-25 13:08:50,2022-12-25
62,55,47,0,1671973731,0.0,53,45,0,,CPICOREYOY-23APR-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-25 13:08:51,2022-12-25
63,57,47,0,1671973731,0.0,53,43,0,,CPICOREYOY-23APR-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-25 13:08:51,2022-12-25
64,57,0,0,1671973731,0.0,100,43,0,,CPICOREYOY-23APR-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-25 13:08:51,2022-12-25
65,55,47,0,1671973731,0.0,53,45,0,,CPICOREYOY-23APR-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-25 13:08:51,2022-12-25
66,100,47,0,1671973731,0.0,53,0,0,,CPICOREYOY-23APR-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-25 13:08:51,2022-12-25
67,100,0,0,1671973731,0.0,100,0,0,,CPICOREYOY-23APR-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-25 13:08:51,2022-12-25
68,55,45,0,1671973731,0.0,55,45,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-25 13:08:51,2022-12-25
69,100,45,0,1671973731,0.0,55,0,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-25 13:08:51,2022-12-25
70,100,0,0,1671973731,0.0,100,0,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-25 13:08:51,2022-12-25
71,53,45,0,1671973732,0.0,55,47,0,,CPICOREYOY-23APR-T3.4,greater,,3.4,,3.5% or higher,finalized,2022-12-25 13:08:52,2022-12-25
72,55,43,0,1671973732,0.0,57,45,0,,CPICOREYOY-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-25 13:08:52,2022-12-25
73,100,47,0,1671973733,0.0,53,0,0,,CPICOREYOY-23APR-T3.3,greater,,3.3,,3.4% or higher,finalized,2022-12-25 13:08:53,2022-12-25
74,100,0,0,1671973733,0.0,100,0,0,,CPICOREYOY-23APR-T3.3,greater,,3.3,,3.4% or higher,finalized,2022-12-25 13:08:53,2022-12-25
75,100,45,0,1671973733,0.0,55,0,0,,CPICOREYOY-23APR-T3.4,greater,,3.4,,3.5% or higher,finalized,2022-12-25 13:08:53,2022-12-25
76,100,0,0,1671973733,0.0,100,0,0,,CPICOREYOY-23APR-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-25 13:08:53,2022-12-25
77,100,0,0,1671973734,0.0,100,0,0,,CPICOREYOY-23APR-T3.4,greater,,3.4,,3.5% or higher,finalized,2022-12-25 13:08:54,2022-12-25
78,100,47,0,1671973734,0.0,53,0,0,,CPICOREYOY-23APR-T4.7,greater,,4.7,,4.8% or higher,finalized,2022-12-25 13:08:54,2022-12-25
79,100,0,0,1671973735,0.0,100,0,0,,CPICOREYOY-23APR-T4.7,greater,,4.7,,4.8% or higher,finalized,2022-12-25 13:08:55,2022-12-25
80,55,47,0,1671973736,0.0,53,45,0,,CPICOREYOY-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2022-12-25 13:08:56,2022-12-25
81,53,45,0,1671973736,0.0,55,47,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2022-12-25 13:08:56,2022-12-25
82,53,43,0,1671973737,0.0,57,47,0,,CPICOREYOY-23APR-T3.5,greater,,3.5,,3.6% or higher,finalized,2022-12-25 13:08:57,2022-12-25
83,100,43,0,1671973737,0.0,57,0,0,,CPICOREYOY-23APR-T3.5,greater,,3.5,,3.6% or higher,finalized,2022-12-25 13:08:57,2022-12-25
84,53,43,0,1671973737,0.0,57,47,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2022-12-25 13:08:57,2022-12-25
85,53,45,0,1671973737,0.0,55,47,0,,CPICOREYOY-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2022-12-25 13:08:57,2022-12-25
86,100,45,0,1671973737,0.0,55,0,0,,CPICOREYOY-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2022-12-25 13:08:57,2022-12-25
87,100,0,0,1671973737,0.0,100,0,0,,CPICOREYOY-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2022-12-25 13:08:57,2022-12-25
88,57,47,0,1671973738,0.0,53,43,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-25 13:08:58,2022-12-25
89,100,0,0,1671973739,0.0,100,0,0,,CPICOREYOY-23APR-T3.5,greater,,3.5,,3.6% or higher,finalized,2022-12-25 13:08:59,2022-12-25
90,100,45,0,1671973742,0.0,55,0,0,,CPICOREYOY-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2022-12-25 13:09:02,2022-12-25
91,100,0,0,1671973742,0.0,100,0,0,,CPICOREYOY-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2022-12-25 13:09:02,2022-12-25
92,100,43,0,1671973742,0.0,57,0,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2022-12-25 13:09:02,2022-12-25
93,100,0,0,1671973742,0.0,100,0,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2022-12-25 13:09:02,2022-12-25
94,100,47,0,1671973746,0.0,53,0,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-25 13:09:06,2022-12-25
95,100,45,0,1671973746,0.0,55,0,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-25 13:09:06,2022-12-25
96,100,0,0,1671973746,0.0,100,0,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-25 13:09:06,2022-12-25
97,100,43,0,1671973754,0.0,57,0,0,,CPICOREYOY-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-25 13:09:14,2022-12-25
98,100,47,0,1671973755,0.0,53,0,0,,CPICOREYOY-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2022-12-25 13:09:15,2022-12-25
99,100,0,0,1671973755,0.0,100,0,0,,CPICOREYOY-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-25 13:09:15,2022-12-25
100,100,0,0,1671973756,0.0,100,0,0,,CPICOREYOY-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2022-12-25 13:09:16,2022-12-25
101,99,0,0,1673885204,0.0,100,1,0,,CPICOREYOY-23APR-T4.7,greater,,4.7,,4.8% or higher,finalized,2023-01-16 16:06:44,2023-01-16
102,100,0,0,1676909006,0.0,100,0,0,,CPICOREYOY-23APR-T4.7,greater,,4.7,,4.8% or higher,finalized,2023-02-20 16:03:26,2023-02-20
103,3,0,0,1677615536,0.0,100,97,0,,CPICOREYOY-23APR-T3.3,greater,,3.3,,3.4% or higher,finalized,2023-02-28 20:18:56,2023-02-28
104,2,0,0,1677615536,0.0,100,98,0,,CPICOREYOY-23APR-T3.3,greater,,3.3,,3.4% or higher,finalized,2023-02-28 20:18:56,2023-02-28
105,1,0,0,1677615536,0.0,100,99,0,,CPICOREYOY-23APR-T3.3,greater,,3.3,,3.4% or higher,finalized,2023-02-28 20:18:56,2023-02-28
106,1,0,0,1677615536,0.0,100,99,0,,CPICOREYOY-23APR-T3.4,greater,,3.4,,3.5% or higher,finalized,2023-02-28 20:18:56,2023-02-28
107,3,0,0,1677615536,0.0,100,97,0,,CPICOREYOY-23APR-T3.5,greater,,3.5,,3.6% or higher,finalized,2023-02-28 20:18:56,2023-02-28
108,1,0,0,1677615536,0.0,100,99,0,,CPICOREYOY-23APR-T3.5,greater,,3.5,,3.6% or higher,finalized,2023-02-28 20:18:56,2023-02-28
109,1,0,0,1677615536,0.0,100,99,0,,CPICOREYOY-23APR-T3.6,greater,,3.6,,3.7% or higher,finalized,2023-02-28 20:18:56,2023-02-28
110,3,0,0,1677615536,0.0,100,97,0,,CPICOREYOY-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2023-02-28 20:18:56,2023-02-28
111,1,0,0,1677615536,0.0,100,99,0,,CPICOREYOY-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2023-02-28 20:18:56,2023-02-28
112,2,0,0,1677615536,0.0,100,98,0,,CPICOREYOY-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2023-02-28 20:18:56,2023-02-28
113,1,0,0,1677615536,0.0,100,99,0,,CPICOREYOY-23APR-T4.2,greater,,4.2,,4.3% or higher,finalized,2023-02-28 20:18:56,2023-02-28
114,4,0,0,1677615536,0.0,100,96,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-02-28 20:18:56,2023-02-28
115,3,0,0,1677615536,0.0,100,97,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-02-28 20:18:56,2023-02-28
116,2,0,0,1677615536,0.0,100,98,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-02-28 20:18:56,2023-02-28
117,6,0,0,1677615536,0.0,100,94,0,,CPICOREYOY-23APR-T4.5,greater,,4.5,,4.6% or higher,finalized,2023-02-28 20:18:56,2023-02-28
118,5,0,0,1677615536,0.0,100,95,0,,CPICOREYOY-23APR-T4.5,greater,,4.5,,4.6% or higher,finalized,2023-02-28 20:18:56,2023-02-28
119,4,0,0,1677615536,0.0,100,96,0,,CPICOREYOY-23APR-T4.5,greater,,4.5,,4.6% or higher,finalized,2023-02-28 20:18:56,2023-02-28
120,4,2,0,1677615536,0.0,98,96,0,,CPICOREYOY-23APR-T4.5,greater,,4.5,,4.6% or higher,finalized,2023-02-28 20:18:56,2023-02-28
121,18,0,0,1677615536,0.0,100,82,0,,CPICOREYOY-23APR-T4.7,greater,,4.7,,4.8% or higher,finalized,2023-02-28 20:18:56,2023-02-28
122,16,0,0,1677615536,0.0,100,84,0,,CPICOREYOY-23APR-T4.7,greater,,4.7,,4.8% or higher,finalized,2023-02-28 20:18:56,2023-02-28
123,16,13,0,1677615536,0.0,87,84,0,,CPICOREYOY-23APR-T4.7,greater,,4.7,,4.8% or higher,finalized,2023-02-28 20:18:56,2023-02-28
124,99,0,0,1677615536,0.0,100,1,0,,CPICOREYOY-23APR-T5.2,greater,,5.2,,5.3% or above,finalized,2023-02-28 20:18:56,2023-02-28
125,98,0,0,1677615536,0.0,100,2,0,,CPICOREYOY-23APR-T5.2,greater,,5.2,,5.3% or above,finalized,2023-02-28 20:18:56,2023-02-28
126,97,0,0,1677615536,0.0,100,3,0,,CPICOREYOY-23APR-T5.2,greater,,5.2,,5.3% or above,finalized,2023-02-28 20:18:56,2023-02-28
127,97,95,0,1677615536,0.0,5,3,0,,CPICOREYOY-23APR-T5.2,greater,,5.2,,5.3% or above,finalized,2023-02-28 20:18:56,2023-02-28
128,3,0,0,1677615537,0.0,100,97,0,,CPICOREYOY-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2023-02-28 20:18:57,2023-02-28
129,2,0,0,1677615537,0.0,100,98,0,,CPICOREYOY-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2023-02-28 20:18:57,2023-02-28
130,1,0,0,1677615537,0.0,100,99,0,,CPICOREYOY-23APR-T3.8,greater,,3.8,,3.9% or higher,finalized,2023-02-28 20:18:57,2023-02-28
131,2,0,0,1677615537,0.0,100,98,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-02-28 20:18:57,2023-02-28
132,1,0,0,1677615537,0.0,100,99,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-02-28 20:18:57,2023-02-28
133,3,0,0,1677615537,0.0,100,97,0,,CPICOREYOY-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2023-02-28 20:18:57,2023-02-28
134,2,0,0,1677615537,0.0,100,98,0,,CPICOREYOY-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2023-02-28 20:18:57,2023-02-28
135,1,0,0,1677615537,0.0,100,99,0,,CPICOREYOY-23APR-T4.0,greater,,4.0,,4.1% or higher,finalized,2023-02-28 20:18:57,2023-02-28
136,2,0,0,1677615537,0.0,100,98,0,,CPICOREYOY-23APR-T4.1,greater,,4.099999,,4.2% or higher,finalized,2023-02-28 20:18:57,2023-02-28
137,1,0,0,1677615537,0.0,100,99,0,,CPICOREYOY-23APR-T4.1,greater,,4.099999,,4.2% or higher,finalized,2023-02-28 20:18:57,2023-02-28
138,4,0,0,1677615537,0.0,100,96,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2023-02-28 20:18:57,2023-02-28
139,3,0,0,1677615537,0.0,100,97,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2023-02-28 20:18:57,2023-02-28
140,2,0,0,1677615537,0.0,100,98,0,,CPICOREYOY-23APR-T4.3,greater,,4.3,,4.4% or higher,finalized,2023-02-28 20:18:57,2023-02-28
141,9,0,0,1677615537,0.0,100,91,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2023-02-28 20:18:57,2023-02-28
142,7,0,0,1677615537,0.0,100,93,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2023-02-28 20:18:57,2023-02-28
143,7,5,0,1677615537,0.0,95,93,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2023-02-28 20:18:57,2023-02-28
144,37,0,0,1677615537,0.0,100,63,0,,CPICOREYOY-23APR-T4.8,greater,,4.8,,4.9% or above,finalized,2023-02-28 20:18:57,2023-02-28
145,35,0,0,1677615537,0.0,100,65,0,,CPICOREYOY-23APR-T4.8,greater,,4.8,,4.9% or above,finalized,2023-02-28 20:18:57,2023-02-28
146,33,0,0,1677615537,0.0,100,67,0,,CPICOREYOY-23APR-T4.8,greater,,4.8,,4.9% or above,finalized,2023-02-28 20:18:57,2023-02-28
147,33,31,0,1677615537,0.0,69,67,0,,CPICOREYOY-23APR-T4.8,greater,,4.8,,4.9% or above,finalized,2023-02-28 20:18:57,2023-02-28
148,61,0,0,1677615537,0.0,100,39,0,,CPICOREYOY-23APR-T4.9,greater,,4.9,,5% or above,finalized,2023-02-28 20:18:57,2023-02-28
149,59,0,0,1677615537,0.0,100,41,0,,CPICOREYOY-23APR-T4.9,greater,,4.9,,5% or above,finalized,2023-02-28 20:18:57,2023-02-28
150,59,56,0,1677615537,0.0,44,41,0,,CPICOREYOY-23APR-T4.9,greater,,4.9,,5% or above,finalized,2023-02-28 20:18:57,2023-02-28
151,83,0,0,1677615537,0.0,100,17,0,,CPICOREYOY-23APR-T5.0,greater,,5.0,,5.1% or above,finalized,2023-02-28 20:18:57,2023-02-28
152,81,0,0,1677615537,0.0,100,19,0,,CPICOREYOY-23APR-T5.0,greater,,5.0,,5.1% or above,finalized,2023-02-28 20:18:57,2023-02-28
153,81,78,0,1677615537,0.0,22,19,0,,CPICOREYOY-23APR-T5.0,greater,,5.0,,5.1% or above,finalized,2023-02-28 20:18:57,2023-02-28
154,92,0,0,1677615537,0.0,100,8,0,,CPICOREYOY-23APR-T5.1,greater,,5.1,,5.2% or above,finalized,2023-02-28 20:18:57,2023-02-28
155,92,90,0,1677615537,0.0,10,8,0,,CPICOREYOY-23APR-T5.1,greater,,5.1,,5.2% or above,finalized,2023-02-28 20:18:57,2023-02-28
156,99,0,0,1677615537,0.0,100,1,0,,CPICOREYOY-23APR-T5.3,greater,,5.3,,5.4% or above,finalized,2023-02-28 20:18:57,2023-02-28
157,99,95,0,1677615537,0.0,5,1,0,,CPICOREYOY-23APR-T5.3,greater,,5.3,,5.4% or above,finalized,2023-02-28 20:18:57,2023-02-28
158,99,96,0,1677615537,0.0,4,1,0,,CPICOREYOY-23APR-T5.3,greater,,5.3,,5.4% or above,finalized,2023-02-28 20:18:57,2023-02-28
159,99,97,0,1677615537,0.0,3,1,0,,CPICOREYOY-23APR-T5.3,greater,,5.3,,5.4% or above,finalized,2023-02-28 20:18:57,2023-02-28
160,100,0,0,1677617661,0.0,100,0,0,,CPICOREYOY-23APR-T3.7,greater,,3.7,,3.8% or higher,finalized,2023-02-28 20:54:21,2023-02-28
161,2,0,0,1677617661,0.0,100,98,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-02-28 20:54:21,2023-02-28
162,100,0,0,1677617661,0.0,100,0,0,,CPICOREYOY-23APR-T3.9,greater,,3.9,,4.0% or higher,finalized,2023-02-28 20:54:21,2023-02-28
163,3,0,0,1677617661,0.0,100,97,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-02-28 20:54:21,2023-02-28
164,100,0,0,1677617661,0.0,100,0,0,,CPICOREYOY-23APR-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-02-28 20:54:21,2023-02-28
165,9,5,0,1677617661,0.0,95,91,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2023-02-28 20:54:21,2023-02-28
166,100,5,0,1677617661,0.0,95,0,0,,CPICOREYOY-23APR-T4.6,greater,,4.6,,4.7% or higher,finalized,2023-02-28 20:54:21,2023-02-28
